angle_deg,x,y,z,fluence
-54.00000000,12.81966011,11.75570505,29.00000000,7.476872586655e-05
-53.00000000,13.02728980,12.03630046,29.00000000,7.556978220882e-05
-52.00000000,13.23978493,12.31322951,29.00000000,8.943330266791e-05
-51.00000000,13.45708077,12.58640782,29.00000000,1.070910352281e-04
-50.00000000,13.67911114,12.85575219,29.00000000,1.285830124056e-04
-49.00000000,13.90580840,13.12118058,29.00000000,1.477073346693e-04
-48.00000000,14.13710349,13.38261213,29.00000000,1.520531242038e-04
-47.00000000,14.37292597,13.63996720,29.00000000,1.545403871485e-04
-46.00000000,14.61320399,13.89316741,29.00000000,1.611574684199e-04
-45.00000000,14.85786438,14.14213562,29.00000000,1.643152797354e-04
-44.00000000,15.10683259,14.38679601,29.00000000,1.650838350784e-04
-43.00000000,15.36003280,14.62707403,29.00000000,1.662918245998e-04
-42.00000000,15.61738787,14.86289651,29.00000000,1.697330314252e-04
-41.00000000,15.87881942,15.09419160,29.00000000,1.764339704739e-04
-40.00000000,16.14424781,15.32088886,29.00000000,1.937543319792e-04
-39.00000000,16.41359218,15.54291923,29.00000000,2.169806450271e-04
-38.00000000,16.68677049,15.76021507,29.00000000,2.412507692168e-04
-37.00000000,16.96369954,15.97271020,29.00000000,2.665474382727e-04
-36.00000000,17.24429495,16.18033989,29.00000000,2.614593072549e-04
-35.00000000,17.52847127,16.38304089,29.00000000,2.659653632409e-04
-34.00000000,17.81614193,16.58075145,29.00000000,2.854226266966e-04
-33.00000000,18.10721930,16.77341136,29.00000000,3.235274297456e-04
-32.00000000,18.40161472,16.96096192,29.00000000,3.653748052066e-04
-31.00000000,18.69923850,17.14334601,29.00000000,4.097497027103e-04
-30.00000000,19.00000000,17.32050808,29.00000000,4.615232737096e-04
-29.00000000,19.30380760,17.49239414,29.00000000,5.048571260440e-04
-28.00000000,19.61056874,17.65895186,29.00000000,5.328366591900e-04
-27.00000000,19.92019001,17.82013048,29.00000000,5.459615910871e-04
-26.00000000,20.23257706,17.97588093,29.00000000,5.895068060786e-04
-25.00000000,20.54763477,18.12615574,29.00000000,6.472419410403e-04
-24.00000000,20.86526714,18.27090915,29.00000000,6.977655687933e-04
-23.00000000,21.18537743,18.41009707,29.00000000,7.431254431656e-04
-22.00000000,21.50786813,18.54367709,29.00000000,7.987609202207e-04
-21.00000000,21.83264101,18.67160853,29.00000000,8.663180546671e-04
-20.00000000,22.15959713,18.79385242,29.00000000,9.651495159130e-04
-19.00000000,22.48863691,18.91037151,29.00000000,1.084266905448e-03
-18.00000000,22.81966011,19.02113033,29.00000000,1.200624362539e-03
-17.00000000,23.15256591,19.12609512,29.00000000,1.434698453617e-03
-16.00000000,23.48725288,19.22523392,29.00000000,1.796830228082e-03
